lag_min,Bx,By_GSE,Bz_GSE
-120,10.179834365844727,8.346161842346191,11.533100128173828
-119,10.160873413085938,8.354378700256348,11.621400833129883
-118,10.141276359558105,8.311906814575195,11.68364143371582
-117,10.136489868164062,8.257774353027344,11.720970153808594
-116,10.159281730651855,8.208892822265625,11.719825744628906
-115,10.169046401977539,8.133946418762207,11.706755638122559
-114,10.15860366821289,8.050162315368652,11.699606895446777
-113,10.170340538024902,7.954742431640625,11.704486846923828
-112,10.191807746887207,7.846559047698975,11.719968795776367
-111,10.218297004699707,7.800097942352295,11.761919975280762
-110,10.20622730255127,7.739694118499756,11.795836448669434
-109,10.169771194458008,7.687994480133057,11.855670928955078
-108,10.144450187683105,7.65220832824707,11.941652297973633
-107,10.124631881713867,7.6474223136901855,12.022111892700195
-106,10.09111499786377,7.6448283195495605,12.073822021484375
-105,10.066611289978027,7.624816417694092,12.136805534362793
-104,10.024590492248535,7.595397472381592,12.21364974975586
-103,9.979169845581055,7.5918121337890625,12.251245498657227
-102,9.94633960723877,7.594941139221191,12.282470703125
-101,9.897378921508789,7.6127705574035645,12.289809226989746
-100,9.869463920593262,7.64235782623291,12.272714614868164
-99,9.839530944824219,7.662261486053467,12.201377868652344
-98,9.806048393249512,7.655679702758789,12.103716850280762
-97,9.772274017333984,7.665678977966309,12.024348258972168
-96,9.720324516296387,7.637581825256348,11.914017677307129
-95,9.682317733764648,7.6083245277404785,11.79493522644043
-94,9.687115669250488,7.6056108474731445,11.696147918701172
-93,9.644654273986816,7.651160717010498,11.5555419921875
-92,9.61377239227295,7.688765048980713,11.416373252868652
-91,9.60731029510498,7.713385105133057,11.304512023925781
-90,9.606489181518555,7.725295066833496,11.162362098693848
-89,9.548402786254883,7.6842803955078125,11.082266807556152
-88,9.492774963378906,7.617275714874268,11.014813423156738
-87,9.450155258178711,7.531779766082764,10.99184799194336
-86,9.409903526306152,7.440428256988525,10.936870574951172
-85,9.385744094848633,7.37411642074585,10.871841430664062
-84,9.366767883300781,7.288829326629639,10.787193298339844
-83,9.325162887573242,7.202688694000244,10.673909187316895
-82,9.262998580932617,7.14620304107666,10.522848129272461
-81,9.222408294677734,7.0980987548828125,10.411632537841797
-80,9.178497314453125,7.056919097900391,10.318061828613281
-79,9.15196418762207,7.032192230224609,10.174417495727539
-78,9.100732803344727,7.062732219696045,10.026162147521973
-77,9.063468933105469,7.089635372161865,9.890210151672363
-76,9.016140937805176,7.051050662994385,9.75947093963623
-75,8.94816780090332,7.002951145172119,9.629462242126465
-74,8.877591133117676,6.987154483795166,9.528250694274902
-73,8.793683052062988,6.938607215881348,9.470741271972656
-72,8.7304105758667,6.865746974945068,9.402936935424805
-71,8.683974266052246,6.785691261291504,9.298466682434082
-70,8.649018287658691,6.725790023803711,9.195263862609863
-69,8.604433059692383,6.663674354553223,9.096073150634766
-68,8.562490463256836,6.6529717445373535,9.054658889770508
-67,8.508770942687988,6.654172897338867,9.040109634399414
-66,8.479023933410645,6.6725897789001465,9.002614974975586
-65,8.447514533996582,6.718990802764893,8.98735237121582
-64,8.425000190734863,6.819687366485596,8.940983772277832
-63,8.401566505432129,6.8631272315979,8.936345100402832
-62,8.398070335388184,6.9054670333862305,9.000160217285156
-61,8.391993522644043,6.915473937988281,9.10446834564209
-60,8.396963119506836,6.906339645385742,9.191706657409668
-59,8.402575492858887,6.8767242431640625,9.253106117248535
-58,8.357733726501465,6.839500904083252,9.323101997375488
-57,8.312435150146484,6.8199920654296875,9.385199546813965
-56,8.29667854309082,6.7654852867126465,9.446856498718262
-55,8.263676643371582,6.693384647369385,9.484359741210938
-54,8.239286422729492,6.652621269226074,9.546660423278809
-53,8.198535919189453,6.638345241546631,9.532975196838379
-52,8.170435905456543,6.620158672332764,9.523627281188965
-51,8.135562896728516,6.586986541748047,9.536300659179688
